"","Median"
"Monoglobus","Lower"
"Sutterella","Same"
"Marvinbryantia","Lower"
"Alloprevotella","Lower"
"Eubacterium","Lower"
"Catenibacterium","Same"
"Romboutsia","Same"
"Cronobacter","Higher"
"Fournierella","Same"
"Veillonella","Higher"
"Bacteroides","Same"
"Yersinia","Same"
"Anaerostipes","Same"
"Desulfovibrio","Lower"
"Gemmiger","Lower"
"Mannheimia","Same"
"Flavonifractor","Higher"
"Bifidobacterium","Same"
"Lactococcus","Same"
"Parasutterella","Lower"
"Coprococcus","Lower"
"Rothia","Higher"
"Faecalibacterium","Lower"
"Oribacterium","Lower"
"Butyrivibrio","Lower"
"Succinivibrio","Same"
"Serratia","Same"
"Alistipes","Lower"
"Enterococcus","Higher"
"Lactobacillus","Higher"
"Parabacteroides","Same"
"Shewanella","Same"
"Dorea","Lower"
"Megamonas","Same"
"Leclercia","Higher"
"Granulicatella","Higher"
"Akkermansia","Lower"
"Slackia","Lower"
"Oscillibacter","Lower"
"Bilophila","Lower"
"Acidaminococcus","Higher"
"Streptococcus","Higher"
"Lachnoclostridium","Higher"
"Pseudoflavonifractor","Lower"
"Clostridium","Same"
"Butyricimonas","Same"
"Paraprevotella","Same"
"Fusicatenibacter","Lower"
"Oxalobacter","Lower"
"Enterobacter","Higher"
"Providencia","Higher"
"Collinsella","Lower"
"Comamonas","Same"
"Blautia","Higher"
"Klebsiella","Higher"
"Citrobacter","Higher"
"Herbaspirillum","Lower"
"Kluyvera","Higher"
"Lachnobacterium","Lower"
"Agathobacter","Lower"
"Odoribacter","Lower"
"Prevotella","Lower"
"Pseudobutyrivibrio","Lower"
"Dialister","Same"
"Sphingomonas","Same"
"Butyricicoccus","Higher"
"Ruminococcus","Lower"
"Megasphaera","Same"
"Roseburia","Lower"
"Turicibacter","Same"
"Haemophilus","Same"
"Phascolarctobacterium","Lower"
"Avibacterium","Same"
"Barnesiella","Lower"
"Atopobium","Same"
"Peptococcus","Lower"
"Mitsuokella","Lower"
"Allisonella","Same"
"Selenomonas","Lower"
"Olsenella","Same"
